Date,Open,High,Low,Close,Adj Close,Volume
2023-10-03,26482.279297,27102.021484,26096.462891,26269.957031,26269.957031,18886579408
2023-10-04,26248.457031,26427.730469,25990.328125,26202.021484,26202.021484,10897120569
2023-10-05,26201.158203,26480.738281,26008.781250,26458.601563,26458.601563,10605900143
2023-10-06,26457.890625,26689.291016,25988.699219,25995.521484,25995.521484,11261905035
2023-10-07,25991.927734,26668.982422,25928.066406,26380.189453,26380.189453,12736143050
2023-10-08,26380.365234,26457.117188,26308.287109,26401.185547,26401.185547,6185746183
2023-10-09,26403.865234,26527.042969,26166.601563,26437.544922,26437.544922,7492467439
2023-10-10,26436.960938,26502.417969,25910.431641,26074.796875,26074.796875,11350825082
2023-10-11,26080.017578,26159.824219,25759.330078,25829.869141,25829.869141,9404919556
2023-10-12,25830.863281,25902.541016,25090.888672,25296.394531,25296.394531,12847224158
2023-10-13,25296.367188,25341.230469,25199.677734,25396.322266,25396.322266,8915317429
2023-10-14,25392.603516,25771.900391,25404.685547,25552.808594,25552.808594,14425988685
2023-10-15,25556.449219,25654.234375,25507.349609,25552.171875,25552.171875,5125440701
2023-10-16,25548.656250,25936.964844,25510.494141,25811.175781,25811.175781,6745776251
2023-10-17,25814.003906,27948.287109,25791.068359,27021.167969,27021.167969,26371596001
2023-10-18,27023.662109,27051.130859,26651.013672,26876.296875,26876.296875,14066793457
2023-10-19,26874.199219,27316.697266,26742.578125,26882.207031,26882.207031,12074574546
2023-10-20,26886.074219,27258.691406,26748.376953,27129.187500,27129.187500,13647866940
2023-10-21,27141.472656,28431.201172,27054.347656,28007.347656,28007.347656,20320410961
2023-10-22,28007.755859,28577.753906,27817.507813,28229.517578,28229.517578,10889649248
2023-10-23,28229.746094,28494.675781,28028.662109,28324.646484,28324.646484,9865139860
2023-10-24,28463.265625,32214.931641,28434.562500,31008.648438,31008.648438,35954608515
2023-10-25,31000.281250,32901.402344,30820.650391,31996.871094,31996.871094,42410461495
2023-10-26,32010.572266,33210.746094,31843.714844,32653.228516,32653.228516,23900509783
2023-10-27,32654.615234,33033.160156,32067.623047,32333.435547,32333.435547,18390210541
2023-10-28,32333.294922,32434.953125,31636.968750,32080.365234,32080.365234,15532279998
2023-10-29,32078.402344,32543.541016,32047.259766,32250.443359,32250.443359,9612180977
2023-10-30,32250.250000,32855.382813,32116.095703,32700.621094,32700.621094,10566460826
2023-10-31,32694.238281,32875.949219,32171.355469,32506.679688,32506.679688,16190853625
2023-11-01,32504.523438,32827.054688,32104.228516,32773.707031,32773.707031,14897317685
2023-11-02,32763.775391,33607.292969,32370.273438,33472.753906,33472.753906,21201940470
2023-11-03,33476.839844,33898.273438,32407.041016,32911.648438,32911.648438,19780160358
2023-11-04,32915.636719,32915.636719,32061.949219,32351.423828,32351.423828,15982244495
2023-11-05,32355.148438,32839.230469,32243.718750,32677.312500,32677.312500,8905867542
2023-11-06,32684.591797,32944.937500,32253.388672,32660.251953,32660.251953,11566641714
2023-11-07,32655.996094,32826.062500,32386.474609,32688.990234,32688.990234,11842658843
2023-11-08,32698.714844,33560.523438,32345.003906,33137.675781,33137.675781,17609387418
2023-11-09,33115.156250,33611.476563,32887.550781,33287.515625,33287.515625,16146859628
2023-11-10,33267.312500,35384.437500,33234.445313,34397.785156,34397.785156,35400428411
2023-11-11,34406.343750,35049.128906,34064.593750,34881.023438,34881.023438,21230445244
2023-11-12,34877.378906,34968.074219,34375.949219,34716.574219,34716.574219,13016381749
2023-11-13,34712.781250,34743.265625,34381.042969,34661.761719,34661.761719,10800162934
2023-11-14,34676.527344,35005.164063,34023.437500,34109.410156,34109.410156,17808365370
2023-11-15,34099.531250,34338.988281,32151.746094,32669.894531,32669.894531,21932206517
2023-11-16,32679.521484,34982.636719,32539.208984,34899.304688,34899.304688,25212076781
2023-11-17,34898.750000,34958.917969,32737.666016,33312.570313,33312.570313,23962892787
2023-11-18,33321.835938,33620.937500,33045.832031,33522.195313,33522.195313,20559421592
2023-11-19,33548.472656,33744.414063,33189.351563,33512.136719,33512.136719,10887477949
2023-11-20,33512.195313,34384.375000,33355.406250,34282.230469,34282.230469,11843533441
2023-11-21,34270.792969,34522.949219,33757.363281,34239.582031,34239.582031,19083822904
2023-11-22,34232.460938,34361.031250,32805.488281,32805.488281,32805.488281,23057727173
2023-11-23,32753.039063,34766.902344,32674.646484,34379.769531,34379.769531,22407676695
2023-11-24,34368.835938,34462.933594,33846.667969,34197.492188,34197.492188,13036216281
2023-11-25,34203.632813,35123.718750,34172.097656,34459.363281,34459.363281,20941268119
2023-11-26,34460.398438,34616.628906,34365.390625,34529.257813,34529.257813,8312913238
2023-11-27,34529.292969,34540.183594,33939.660156,34259.402344,34259.402344,12564021872
2023-11-28,34236.613281,34353.511719,33613.945313,33993.832031,33993.832031,17339865672
2023-11-29,33988.195313,34916.312500,33688.132813,34379.074219,34379.074219,19716407904
2023-11-30,34374.550781,34911.050781,34278.875000,34499.992188,34499.992188,18889675827
2023-12-01,34502.382813,34753.734375,34433.921875,34625.015625,34625.015625,16632736550
2023-12-02,34629.847656,35832.484375,34523.882813,35518.437500,35518.437500,21586052430
2023-12-03,35518.925781,36447.085938,35485.246094,36260.984375,36260.984375,14268788411
2023-12-04,36257.195313,36873.023438,36097.328125,36724.750000,36724.750000,14486279586
2023-12-05,36724.968750,39106.964844,36724.968750,38736.507813,38736.507813,36776645956
2023-12-06,38742.195313,41131.792969,38325.332031,40832.433594,40832.433594,33636384491
2023-12-07,40831.855469,40977.664063,40308.878906,40632.398438,40632.398438,27780665117
2023-12-08,40653.468750,40928.074219,39797.617188,40122.906250,40122.906250,25612353182
2023-12-09,40123.339844,41539.382813,39986.851563,40995.437500,40995.437500,22667680509
2023-12-10,41007.894531,41176.117188,40495.136719,40586.460938,40586.460938,16121172681
2023-12-11,40588.683594,40909.796875,40495.066406,40666.917969,40666.917969,12076134189
2023-12-12,40678.363281,40690.398438,37380.941406,38311.312500,38311.312500,37743607791
2023-12-13,38306.578125,38979.156250,37697.570313,38385.144531,38385.144531,22947173736
2023-12-14,38402.039063,39931.859375,37712.339844,39411.660156,39411.660156,24624174259
2023-12-15,39405.707031,39434.046875,38240.777344,39135.164063,39135.164063,23266563571
2023-12-16,39139.054688,39227.500000,38217.652344,38437.679688,38437.679688,18003791136
2023-12-17,38445.000000,39111.636719,38248.246094,38722.191406,38722.191406,13188545203
2023-12-18,38718.515625,38831.628906,37892.546875,37966.640625,37966.640625,15308580792
2023-12-19,37951.531250,39111.371094,37145.332031,39020.058594,39020.058594,23092100323
2023-12-20,39036.511719,39706.421875,38110.691406,38499.953125,38499.953125,21104124796
2023-12-21,38491.550781,40396.601563,38496.046875,39885.058594,39885.058594,25463821399
2023-12-22,39881.292969,40253.832031,39572.253906,39858.062500,39858.062500,20399842399
2023-12-23,39857.914063,40339.125000,39388.527344,39903.324219,39903.324219,19071527621
2023-12-24,39916.292969,39919.464844,39316.949219,39667.652344,39667.652344,12250301745
2023-12-25,39657.515625,39868.914063,38848.808594,39045.214844,39045.214844,17092267976
2023-12-26,39040.179688,39672.835938,38850.480469,39580.496094,39580.496094,19163344467
2023-12-27,39568.429688,39571.453125,37778.320313,38504.562500,38504.562500,27190965041
2023-12-28,38502.812500,39345.335938,38217.789063,39108.300781,39108.300781,22740505379
2023-12-29,39131.113281,39415.761719,38211.789063,38515.289063,38515.289063,20773907848
